"","SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
"PLEC",33413.2671710004,27163.5527292035,22678.5519580633,30077.4811106759,24168.0114364684,20372.2303302281,38498.79724008,39485.8870620588
"PLEK",16054.8220377343,16244.5707764112,14039.3769414499,21926.2710716401,20546.95822713,14009.5445502644,24792.0589790828,19352.6652944487
"PLEK2",1.54640936599252,1.90608046657803,8.61047343848507,0,7.11172479739139,0,1.54019832133461,2.05409598200379
"PLEKHA1",357.220563544272,369.779610516137,459.225250052537,502.336466156819,411.294750782469,608.236795258382,373.241393203421,504.28056358193
"PLEKHA2",4198.50142866969,4394.46851569564,4679.79231381664,6535.82683036328,5752.20007362341,4234.38589812053,6260.9061762252,5788.44247728667
"PLEKHA3",298.457007636556,291.630311386438,175.07962658253,337.39016383667,407.738888383773,191.462365116117,293.151080494021,254.70790176847
"PLEKHA4",7.7320468299626,12.3895230327572,12.9157101577276,13.6319258115826,41.4850613181165,16.9248499550159,9.75458936845254,6.16228794601136
"PLEKHA5",0,52.4172128308957,38.7471304731828,47.7117403405391,79.4142602375372,17.9826530772043,17.9689804155705,8.21638392801515
"PLEKHA6",0,0,0,0,0,0,0,0
"PLEKHA7",23.1961404898878,33.3564081651155,44.4874460988396,52.4829143745931,103.120009562175,24.3294718103353,43.638952437814,22.5950558020417
"PLEKHA8",780.936729826223,948.275032122568,945.716999326944,759.298267705151,898.44789940378,802.872569741065,830.166895199356,849.368688558566
"PLEKHB1",3.09281873198504,22.8729655989363,25.8314203154552,72.930803091967,94.8229972985519,4.23121248875396,15.4019832133461,8.21638392801515
"PLEKHB2",479.386903457681,393.605616348362,681.662480546735,610.710276358901,450.409237168122,501.398679917345,416.36694620079,467.306835905861
"PLEKHD1",0,2.85912069986704,5.74031562565672,7.49755919637044,7.11172479739139,8.46242497750793,1.54019832133461,8.21638392801515
"PLEKHF1",0,53.3702530641847,38.7471304731828,232.424335087484,120.899321555654,14.8092437106389,23.1029748200192,6.16228794601136
"PLEKHF2",2086.10623472391,1781.23219601717,1887.12876193465,2166.11301146048,2184.48480026539,1821.53697640858,1837.96999679264,1407.05574767259
"PLEKHG1",13.9176842939327,27.6381667653814,0,0,0,0,1.54019832133461,0
"PLEKHG2",692.791395964649,782.44603153028,622.824245383754,697.95460155303,393.51543878899,589.196339058989,970.83834188125,1994.52719852568
"PLEKHG3",632.481430690941,983.537520754262,1371.93543453196,341.479741580144,500.191310749861,752.098019876017,530.855021419996,348.169268949642
"PLEKHG4",111.341474351461,80.0553795962771,70.3188664142948,70.2044179296504,92.4524223660881,117.416146562922,86.7645054351832,63.6769754421174
"PLEKHG4B",0,0,0,0,0,0,0,0
"PLEKHG5",0,0,2.87015781282836,0,0,0,0,0
"PLEKHG6",0,0,0,0,0,0,0,0
"PLEKHG7",0,0,0,0,1.1852874662319,0,0,0
"PLEKHH1",0,0,0,79.7467659977583,167.125532738698,0,16.9421815346807,0
"PLEKHH2",0,0,0,0,0,0,0,0
"PLEKHH3",47.9386903457681,37.1685690982715,30.1366570346978,41.577373725327,32.0027615882613,95.2022809969642,54.4203406871563,29.7843917390549
"PLEKHJ1",1693.31825576181,1488.64884439744,1597.24282283898,1505.6462058893,1579.98819248712,1840.57743260797,1635.17721781691,1777.82007242428
"PLEKHM1",6013.98602434491,5691.55627320199,5423.16318733918,5018.59348753414,5828.05847146225,5286.90000469808,5721.32336431764,7265.33748834739
"PLEKHM2",4370.15286829486,3802.63053082316,4244.96340517314,4420.83354069624,4309.70522721918,4052.44376110411,4188.8260345897,4812.74688583487
"PLEKHM3",1450.53198530098,1328.53808520488,1239.90817514185,1338.65511469741,1303.81621285509,1233.39844047178,1598.21245810488,1743.92748872121
"PLEKHN1",0,2.85912069986704,15.785867970556,23.8558701702696,0,35.9653061544087,13.3483854515666,3.08114397300568
"PLEKHO1",13158.3972952304,14177.4265104074,11769.0821115027,17244.386151652,16550.168890996,10309.349228849,18292.4220630507,16645.3667901677
"PLEKHO2",10456.8201328414,10224.2156227245,10434.4587285375,13182.0722598004,13470.7920537255,10683.8115341038,9513.29163144345,8638.50065231692
"PLEKHS1",0,0.953040233289013,0,0,4.7411498649276,1.05780312218849,0,1.02704799100189
"PLET1",0,0,0,0,0,0,0,0
"PLG",0,0,0,3.40798145289565,0,0,0,0
"PLGLB1",150.001708501274,81.0084198295661,165.034074237631,41.577373725327,43.8556362505803,61.3525810869325,51.8533434849319,36.9737276760682
"PLGLB2",9.27845619595512,36.2155288649825,0,143.135221021617,156.457945542611,47.6011404984821,36.4513602715858,38.0007756670701
"PLGRKT",98.9701994235213,138.190833826907,117.676470325963,174.488650388257,146.975645812755,133.28319339575,197.658784571275,130.43509485724
"PLIN1",0,0,0,0.681596290579131,0,0,0,0
"PLIN2",1764.45308659747,1417.17082690076,3048.10759722372,1591.52733850227,2822.16945709815,2010.88373528032,2791.35275769876,2830.54426320122
"PLIN3",4572.73249523988,4685.14578684879,4926.62588571988,5774.48377378639,5368.16693456427,4854.25852772298,6646.4691559993,6176.66661788539
"PLIN4",0,20.9668851323583,0,0,0,0,7.70099160667306,0
"PLIN5",3.09281873198504,68.618896796809,58.8382351629813,40.2141811441687,10.6675871960871,30.6762905434662,26.6967709031333,32.8655357120606
"PLK1",23.1961404898878,35.2624886316935,25.8314203154552,35.4430071101148,35.558623986957,47.6011404984821,39.531756914255,31.8384877210587
"PLK2",38.660234149813,47.6520116644507,48.7926828180821,62.0252624427009,209.795881523046,33.8496999100317,94.4654970418562,80.1097432981477
"PLK3",0,145.815155693219,0,0,0,490.82064869546,44.6657513187037,0
"PLK4",43.2994622477906,50.5111323643177,22.9612625026269,3.40798145289565,20.1498869259423,26.4450780547123,31.3173658671371,0
"PLK5",0,0,0,0,0,0,0,0
"PLLP",34.0210060518354,0,1.43507890641418,7.49755919637044,5.9264373311595,11.6358343440734,0,0
"PLN",0,0,0,0,0,0,0,0
"PLOD1",2995.39494192751,3479.54989173819,4064.14346296496,3745.37161673232,3321.17548038178,3800.68661802325,3153.81276265284,4014.7305968264
"PLOD2",0,5.71824139973408,1.43507890641418,6.81596290579131,0,0,0,8.21638392801515
