"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC102723517",23.0856098712889,-5.3812609986192,1.01994632016149,7.04188434652628e-14,9.73917754711536e-12
"IGHGP",96.4823247673058,4.26956445309199,0.802083017331746,7.14040167468138e-14,9.81699603024981e-12
"GPHA2",84.6921173257607,-4.5936883234908,0.812040796976227,7.54777475867773e-14,1.02557044747297e-11
"MYEF2",161.867229832952,-1.78033503498273,0.259251157862097,7.51499749870329e-14,1.02557044747297e-11
"RBP1",222.887615650579,-2.66473826781847,0.416303902245381,7.80791124889898e-14,1.054748941094e-11
"JPT1",203.123632929294,2.80832225547753,0.450912175594027,8.41911698573072e-14,1.13074094314135e-11
"TMEM225",25.4927695101933,-5.50126294049012,1.04802851701078,8.48215801914557e-14,1.13266058376349e-11
"CRYBG2",33.2690020892482,4.30129930188482,0.680000604711963,9.0083412735433e-14,1.19605033994731e-11
"IGLC3",277.719304876836,3.2292493609095,0.546315087124537,1.02653126112412e-13,1.35519624160334e-11
"C2CD4B",196.838825144814,-3.86993919093073,0.736977486111782,1.16038355961361e-13,1.52324926596736e-11
"SLC38A3",53.5155918662656,-5.19825520795417,1.07013266447627,1.34731125254248e-13,1.75869533442834e-11
"RNF212",41.9148442096548,-3.22771493843076,0.52525555987555,1.3700384106301e-13,1.77837108776482e-11
"BRSK2",140.666921669759,-4.20128337209,0.825657710126474,1.41754283192457e-13,1.82981153887597e-11
"CECR2",52.375402934828,-2.8919570341762,0.466949944772023,1.47083214000087e-13,1.88810965596245e-11
"GSTA2",263.611505132023,-5.35362738608439,1.12406592261565,1.56606284189436e-13,1.99931154568216e-11
"TMEM97",706.728749387815,-2.94888985254076,0.482792390719175,1.60916580378121e-13,2.04311297545664e-11
"MFSD2A",70.9866066969173,3.75978815186883,0.629617234046816,2.09040271212682e-13,2.63970146827536e-11
"EPS8L3",155.65243395101,4.11155362446055,0.701071883080003,2.14855248570635e-13,2.69846578407497e-11
"LOC105369608",33.7505452672767,-5.9403292188107,1.16640729160218,2.18615172436608e-13,2.73092662987343e-11
"LOC102724363",16.8807677280753,-3.51562459169731,0.565043400592247,2.29010049266182e-13,2.84548047844906e-11
"KCNJ5",115.225250066523,-3.13016453400833,0.529177460224912,2.42256921828508e-13,2.99406360568371e-11
"GPR35",66.9525939103266,3.66132257325051,0.617020448536531,2.45494064531929e-13,3.01801830126951e-11
"LOC107986239",12.9817063857748,-6.88277751174334,1.24275859264703,2.65227193940526e-13,3.22646798492572e-11
"OASL",61.9956748801668,3.8687160222127,0.66191339560299,2.64186712794818e-13,3.22646798492572e-11
"WTAPP1",67.5643339219699,5.32459215862511,1.0681544842579,2.98142147453455e-13,3.60798583129221e-11
"TMEM52",50.0250878438236,-5.06095753997815,1.03721640995782,3.12223292748905e-13,3.75881254249782e-11
"SPX",102.133092433091,-5.7627302370492,1.1585638175593,3.2214083174689e-13,3.85821764208195e-11
"GPRC5A",914.938765363675,3.14501485163441,0.545667214983445,3.49579346116977e-13,4.16537236257844e-11
"S100P",1027.0836178935,5.27932192063576,1.16020060935141,3.76522726052499e-13,4.46352323460705e-11
"ITGB4",689.423743815238,2.52924982334686,0.409277875433668,3.81639378563113e-13,4.50121368574311e-11
"HOMER2",1009.18507140572,-3.26279391615067,0.582766897376277,3.84944320552006e-13,4.51726327678074e-11
"TRIM31",85.5326570860833,4.92601730448797,0.981426608132124,4.00926440178311e-13,4.68116876258446e-11
"STYK1",43.4590709033784,4.4419765933113,0.781205392594429,4.06736542734368e-13,4.72526178521652e-11
"CYP2S1",60.1841438339466,4.00532104468206,0.694026124414424,4.11980175930299e-13,4.76236785459727e-11
"RTKN2",43.2916532453287,3.52575741428029,0.602224698876963,4.50545590170908e-13,5.1823894988223e-11
"GYS2",59.6477117972343,-4.53568081665663,0.898878230839523,4.93633203767512e-13,5.65003324607791e-11
"ARHGAP27",143.797363033553,1.83463335007983,0.277922087531452,5.39601747077913e-13,6.11592516749039e-11
"RGN",80.5789799760754,-3.27007051137561,0.572137918867489,5.38610745746663e-13,6.11592516749039e-11
"LINC02477",17.4217830983723,-6.77677278512006,1.33544718166156,5.56357959298025e-13,6.27523164285904e-11
"ST6GALNAC1",240.324585630371,3.65373630177531,0.679588799560501,5.75878319514317e-13,6.46402548498316e-11
"LOC105375539",32.3409812977849,-5.20248688728219,0.956725008277149,5.94409634421815e-13,6.63995569989945e-11
"CCL20",68.0111539977996,3.72544996479462,0.666489228832515,7.49664370239684e-13,8.3341873887651e-11
"DQX1",19.1941379941094,4.66483722134993,0.763977174070482,7.57463497000824e-13,8.38079254895912e-11
"MAPK8IP1",80.5596501000677,-2.44450775332971,0.39866439046044,7.70527899719556e-13,8.48493637439995e-11
