"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PARP14",19011.476339757,1.72760049515564,0.418548699859825,1.82098697783146e-06,0.000100007678896922
"RPL31",2159.18456500893,-0.439378927740935,0.0997374953415589,1.84908558358417e-06,0.000101122355480314
"HIST2H2BE",1347.18055587215,1.43966532052791,0.349961652214087,1.89968322171188e-06,0.000103076223587756
"RUBCN",1846.63758800248,0.575359675035583,0.133706625459895,1.90071888260734e-06,0.000103076223587756
"GBE1",587.782257852053,-0.441041667223675,0.100351434890316,1.91098685268527e-06,0.000103201252490224
"CUL1",4567.76638187431,1.52625680450602,0.368903632947403,1.95262411352898e-06,0.000105012286869084
"ZFP1",205.386414490596,-0.984244894708387,0.236941533781525,1.97336470606956e-06,0.000105689173369288
"PLEK",18370.7834847702,0.486048844027243,0.111665554007988,2.04531451125425e-06,0.000109091857532372
"PNN",1213.16406958066,-0.434529457613044,0.0990615662315666,2.07796466375755e-06,0.000110379098389187
"FFAR2",1891.29281868086,2.02984879219737,0.499088525643633,2.09078319660092e-06,0.000110606698004671
"HIST1H2BD",148.463484460752,2.48031711143901,0.613509799708522,2.11712788227221e-06,0.000111093499927652
"MACF1",5438.97563835955,0.44947948323955,0.102893629915602,2.11687011067657e-06,0.000111093499927652
"PLCB1",997.323530132733,-0.936468851943058,0.229000412990745,2.13198020855874e-06,0.000111321427519659
"PRUNE2",96.8501470990121,-2.24755523630385,0.557701113386681,2.13864944467209e-06,0.000111321427519659
"KBTBD11",2399.14989444354,-0.801829135736162,0.192410136550285,2.20292235706649e-06,0.000114208306679755
"ZBTB1",639.439305898709,-0.566798507108674,0.133287444570334,2.31766868729662e-06,0.000119678501418532
"HLA-B",241359.094465817,0.540682564165301,0.126861639789129,2.32775949926042e-06,0.00011972258281712
"PML",3697.2029167179,1.47448339932208,0.362371868135912,2.36450293244579e-06,0.000121131709515533
"SGK3",2631.96628944004,-0.46158096212078,0.106763026072305,2.44408420719913e-06,0.000124715651218535
"MAFF",195.40349896155,3.00169847377403,0.753149510318372,2.50055221159688e-06,0.000127096694958852
"CSMD1",35.9713264504806,-3.68642059333241,0.94741387363218,2.52390033208947e-06,0.000127782313297702
"IFITM1",8889.00706086411,4.74868967117437,1.20603817940706,2.54654786756847e-06,0.000128243379033067
"TCIRG1",21922.8143495187,0.467079687138932,0.10756505819282,2.55279621869696e-06,0.000128243379033067
"POLR1D",3514.82912732305,-0.4338328617973,0.0996835078349037,2.56404794287371e-06,0.000128311294932765
"DDB2",615.590886027407,1.45357335334873,0.360921866244787,2.59938657839781e-06,0.000129579420933131
"MAP3K6",578.495455695481,0.920543299044614,0.224386726935084,2.63950857090519e-06,0.000130880343017772
